Neutrino,ztfid,iau_name,in_gcn,classif_code,classif,notes,max_brightness,max_range,catmatch,dist
IC200530A,ZTF20abdnoxm,AT2020llp,0,0,Unclassified,"Starforming Galaxy, several old detections in FP, consistent with SN post-peak with g;ade redshift (-17)",20.8 (g),0.6 (g),,
IC200530A,ZTF20abdnoyu,AT2020lps,0,0,Unclassified,"Faint, SDSS Galaxy, faint host",21.4 (g),0.0 (g),,
IC200530A,ZTF20abdnozk,AT2020llq,0,1,AGN Variability?,"SDSS Galaxy, No significant temporal variability, No contemporaneous flaring activity",20.6 (r),0.6 (g),,
IC200530A,ZTF20abdnpae,AT2020lpt,0,0,Unclassified,"SDSS Galaxy, significant fading (0.3 mag/day)",20.9 (g),0.4 (g),,
IC200530A,ZTF20abdnpbp,AT2020llr,0,1,AGN Variability,"QSO Starburst Broadline, 'AX'-type source, No significant temporal variability, No contemporaneous flaring activity",20.7 (r),0.1 (r),SDSS J170435.99+235233.8,0.2
IC200530A,ZTF20abdnpbq,AT 2020lpw,0,1,AGN Variability?,"No signficant temporal variation, No contemporaneous flaring activity",21.0 (r),0.2 (g),,
IC200530A,ZTF20abdnpbu,AT 2020lpx,0,0,Unclassified,No significant temporal evolution. Offset?,21.0 (g),0.4 (g),,
IC200530A,ZTF20abdnpdo,AT 2020lls,1,,SN Ic,"no sign for interaction (explosion days before neutrino, possible optical pre-detection in forced photometry",19.0 (r),,,
IC200530A,ZTF20abdqzjl,,0,,Star,SDSS Star,20.4 (r),0.9 (r),,0.4
IC200530A,ZTF20abdqzjr,,0,1,AGN Variability,"Likely QSO (prob = 97.0%), No significant temporal evolution, No contemnporaneous flaring activity",21.1 (r),0.1 (r),SDSS J165400.03+284414.2,0.33
IC200530A,ZTF20abdqzkq,AT 2020lpu,0,,Star,"SDSS Galaxy, Faint host, ",20.7 (g),0.4 (g),,
IC200530A,ZTF20abdqzkr,,0,1,AGN Variability,"QX'-type source, No significant temporal evolution, No contemporaneous flaring activity",21.1 (g),0.2 (g),SDSS J170606.15+240305.5,0.17
IC200530A,ZTF20abdrnjw,,0,,Star,SDSS Morphology: 'Star'-type source,21.3 (r),0,,0.2
IC200530A,ZTF20abdrnlg,AT2020lpv,0,0,Unclassified,"SDSS Galaxy, ",20.9 (r),,,
IC200530A,ZTF20abdrnmp,,0,1,AGN Variability,"Likely QSO (prob = 99.0%), No significant temporal variability, No contemporaneous flaring activity",21.6 (r),0,SDSS J170443.58+242331.2,0.12
IC200620A,ZTF18acvhwtf,AT 2020ncs,0,1,AGN Variability,"Milliquas Q, No significant temporal evolution, No contemporaneous flaring activity",19.7 (r),1.0 (r),SDSS J104816.25+120734.7,0.55
IC200620A,ZTF20abgvabi,AT 2020ncr,1,1,AGN Variability?,"No significant temporal evolution, No contemporaneous flaring activity",20.2 (r),0.9 (r),,
IC200916A,ZTF18acccxxf,AT2020tnn,0,2,AGN Variability (FP),SAME AS ZTF18adbbnry,19.7 (g),1.0 (g),,
IC200916A,ZTF18adbbnry,AT2020tnn,0,2,AGN Variability (FP),"history of variability, faint variable detection in PS1, NCFA in forced photometry",19.8 (g),0.9 (g),,
IC200916A,ZTF20acaapwk,SN2020tno,1,,SN Ia,"GCNed, rising after 1 day, retraction GCNed",18.9 (r),1.0 (r),,
IC200916A,ZTF20acaapwn,,0,0,Unclassified,fainter on day 2,21.0 (g),0.1 (g),,
IC200916A,ZTF20acaapwo,AT2020tnp,1,0,Unclassified,"GCNed, constant after 1 day",20.4 (r),0.2 (g),,
IC200916A,ZTF20acayuno,,0,1,AGN Variability,"Likely QSO (prob = 95.0%), no significant temporal evolution, No contemporaneous flaring activity",21.1 (r),0.1 (g),WISEA J071801.69+135133.5,0.25
IC200926A,ZTF18achvmdz,,0,1,AGN Variability,"No significant temporal evolution, No contemporaneous flaring activity",18.9 (i),0.9 (g),,
IC200926A,ZTF18acwfrle,,0,,Star,Bad sub?,15.4 (g),2.2 (g),,
IC200929A,ZTF20aamoxyt,,1,,AGN,"WISE/Marshal, Interesting Lightcurve",19.8 (g),1.1 (g),,
IC201021A,ZTF18abmkdiy,AT2019cvb,0,1,AGN Variability,"Likely QSO (prob = 87.0%). No significant temporal variability, No contemporanous flaring activity",18.7 (i),1.4 (g),WISEA J172032.08+135312.7,0.43
IC201021A,ZTF20abfaado,AT2020nbr,0,,Star,"looks like a variable star, PS1 history, star/galaxy score 0.8",19.3 (i),1.6 (r),,
IC201021A,ZTF20acinqzo,,0,1,AGN Variability,"Likely QSO (prob = 100.0%). No significant temporal evolution, No contemporaneous flaring activity",19.6 (i),0.8 (g),WISEA J171957.03+143255.0,0.48
IC201021A,ZTF20acmxnpa,AT2020ybb,1,,???,Likely QSO (prob = 98.0%) (host). predetections 9 days prior to neutrino. We triggered + GCN-ed. --> SN IIn ???,20.6 (g),0.4 (g),WISEA J172150.78+144627.5,0.39
IC201130A,ZTF17aadmvpm,,0,,Artifact,subtraction artifact,16.1 (g),1.1 (g),,
IC201130A,ZTF18abxrpgu,AT2021ury,0,,AGN,"AGN, not especially flaring, radio-bright, flaring?",18.8 (r),1.6 (g),,
IC201130A,ZTF18achpvrl,,0,1,AGN Variability?,"No significant temporal evolution, No contemporaneous flaring activity",19.1 (r),0,,
IC201130A,ZTF19aaagxcv,,0,1,AGN Variability,"No significant temporal evolution, No contemporaneous flaring activity",18.4 (g),1.4 (g),,0.64
IC201130A,ZTF20aceidvg,,0,1,AGN Variability?,"No significant temporal evolution, No contemporaneous flaring activity",19.7 (g),1.2 (g),,
IC201130A,ZTF20acmnnwf,,0,1,AGN Variability?,"Likely QSO (prob = 96.0%), No significant temporal evolution, No contemporaneous flaring activity",19.9 (r),1.0 (g),WISEA J020243.93-112200.5,0.21
IC201130A,ZTF20acuqdeu,AT2020aehs,0,0,Unclassified,Need to see subs,19.8 (g),0.5 (g),,
IC201130A,ZTF20acxbkpz,,0,0,Unclassified,Transient? AGN? Should do WISE colours,20.5 (r),0.1 (g),,
IC201209A,ZTF18abwhosy,,0,2,AGN Variability (FP),"Q, no significant temporal evolution, NCFA in forced photometry",19.3 (r),1.0 (g),SDSS J002553.11-091252.1,0.16
IC201209A,ZTF20abvxjup,,0,1,AGN Variability,"Q, no significant temporal evolution, No contemporaneous flaring activity",20.0 (g),0.7 (g),SDSS J003049.23-090133.7,0.41
IC201209A,ZTF20acycunv,SN2020addp,0,,SN IIP,,19.4 (r),0.4 (r),,
IC210210A,ZTF19aaapmca,,0,2,AGN Variability (FP),"N2X, history of variability, NCFA in forced photometry",18.6 (r),2.2 (g),4C 05.57,0.29
IC210210A,ZTF19aailrrn,,0,1,AGN Variability,"A, No significant temporal evolution, No contemporaneous flaring activity",20.0 (g),0.9 (g),SDSS J134752.20+044729.3,0.47
IC210210A,ZTF19aasfvho,,0,1,AGN Variability,"Q, No significant temporal evolution, No contemporaneous flaring activity",19.4 (g),1.5 (g),SDSS J134655.48+041500.5,0.48
IC210210A,ZTF19aasfvqm,,0,,AGN,"Q, coherent flare",18.2 (r),2.2 (r),SDSS J134034.75+045241.3,0.14
IC210210A,ZTF20aadynqa,,0,1,AGN Variability,"Likely QSO host, No significant temporal evolution, No contemporaneous flaring activity",20.1 (g),0.7 (r),WISEA J134837.32+042343.4,1.18
IC210210A,ZTF20aajcpde,,0,1,AGN Variability,"Duplicate of ZTF19aasfvho? Q, No significant temporal evolution, No contemporaneous flaring activity",19.5 (g),0.7 (g),SDSS J134655.48+041500.5,1.45
IC210210A,ZTF21aafmkun,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",19.4 (r),0.9 (g),SDSS J134430.39+045817.7,0.39
IC210210A,ZTF21aajxjmv,,0,,Star,SDSS Star,21.3 (r),0.0 (g),,0.27
IC210210A,ZTF21aajxjmy,,0,,Star,SDSS Star,21.1 (g),0.5 (g),,0.08
IC210210A,ZTF21aajxjnb,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",22.1 (g),0.3 (g),SDSS J134658.52+045018.3,0.09
IC210210A,ZTF21aajxjnc,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",21.7 (g),0.2 (g),SDSS J134522.08+050140.6,0.36
IC210210A,ZTF21aajxjrn,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",20.1 (r),0.8 (g),SDSS J134803.94+051702.4,0.25
IC210210A,ZTF21aajxjrv,AT2021clu,1,0,Unclassified,"young transient? GCNed. SDSS Galaxy, OSIRIS spectrum taken by Jesper",20.9 (r),0.2 (r),,
IC210210A,ZTF21aajxjry,AT2021clv,1,0,Unclassified,young transient? GCNed. SDSS Galaxy,21.5 (r),0.2 (g),,
IC210210A,ZTF21aajxjsa,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",21.7 (r),0.0 (g),SDSS J134852.73+052210.8,0.15
IC210210A,ZTF21aajxkls,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",21.1 (g),0.1 (r),SDSS J134048.85+050046.6,0.15
IC210210A,ZTF21aakiqpj,,0,,Star,SDSS Star,22.1 (g),0.0 (r),,0.46
IC210510A,ZTF19aadzayi,,0,,Star,Gaia 4 sigma parallax,15.0 (r),1.8 (r),,0.85
IC210510A,ZTF19aawqcum,,0,1,AGN Variability?,"No significant temporal evolution, No contemporaneous flaring activity",19.1 (g),1.3 (g),,
IC210510A,ZTF20abhfiyd,,0,,Star,SDSS Star morphology,19.6 (g),0.9 (g),,1.4
IC210510A,ZTF20acinvxv,,0,0,Unclassified,"No significant temporal evolution, might be AGN?",21.0 (r),0,,
IC210510A,ZTF20acinwlt,,0,1,AGN Variability,Likely QSO (prob = 99.0%),21.0 (r),0.0 (g),WISEA J175441.45+040849.1,0.5
IC210510A,ZTF21aaiuekm,,0,,Star,SDSS Star Morphology,19.5 (g),0.7 (g),,0.91
IC210629A,ZTF18abteipt,AT2019gnu,0,2,AGN Variability (FP),Probable AGN (WISE colours). NCFA in forced photometry,17.1 (r),2.6 (r),WISE J224645.73+122935.7,0.08
IC210629A,ZTF21abecljv,AT2021osi,1,1,AGN Variability?,Likely AGN (our Gemini spectrum). No significant temporal evolution. No contemporaneous flaring activity,19.8 (i),0.9 (g),,
IC210629A,ZTF21abllruf,,0,,Artifact,Star. Subtraction artifact,17.5 (i),0,,0.13
IC210811A,ZTF20abjezpo,,0,,Star?,No significant temporal evolution,19.7 (r),1.1 (r),,
IC210811A,ZTF21absmcwm,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",20.8 (g),0.9 (g),SDSS J180116.94+243524.8,0.33
IC220405A,ZTF21aahqtka,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",19.9 (r),0.7 (g),SDSS J085240.75-013919.6,0.42
IC220405B,ZTF17aaaejau,AT2018kgn,0,,Star,CV,16.9 (g),4.1 (g),,
IC220405B,ZTF19aavnpjv,,0,,Star,"triggered NOT, classified as CV",18.7 (g),1.0 (g),,
IC220501A,ZTF20abgjniz,,0,1,AGN Variability,Probable WISE-selected quasar:W1-W2=1.2>0.8,19.4 (r),1.3 (r),WISEA J204704.67+180252.7,2.09
IC220501A,ZTF21abjwacn,,0,1,AGN Variability,RadioS'-type source,19.1 (r),1.8 (r),WISEA J204918.64+182206.8,0.02
IC220513A,ZTF19aaapmar,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",19.9 (r),0.3 (r),SDSS J145141.31-020627.6,0.74
IC220513A,ZTF20aawvxao,AT2021cdy,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",19.7 (r),0.8 (r),SDSS J145857.84-013419.3,0.18
IC220513A,ZTF22aaloeor,,0,1,AGN Variability,"Likely QSO, No significant temporal evolution, No contemporaneous flaring activity",20.4 (g),0.2 (g),SDSS J145153.85-020420.6,1.42
IC220624A,ZTF18aaseehz,,0,1,AGN Variability,"Milliquas QX-type source, NCFA",19.6 (g),1.6 (g),SDSS J145159.84+400401.6,0.15
IC220624A,ZTF19aaobxug,,0,1,AGN Variability,"Milliquas AX-type source, NCFA",19.4 (g),1.4 (g),SDSS J145448.92+421101.7,0.52
IC220624A,ZTF19adgzidh,AT2021bei,1,1,AGN Variability,"WISE G-type source, classified with our NOT spectrum",19.2 (g),1.2 (g),WISEA J150144.26+411658.7,0.01
IC220624A,ZTF21aauwmgr,,0,1,AGN Variability,"Likely QSO (prob = 99.0%), NCFA",19.8 (i),1.0 (r),SDSS J150229.62+414825.9,0.02
IC220624A,ZTF22aaparxg,AT2022nit,1,,SN Ia,"WISE G-type source, we took Keck spectrum",20.3 (r),0.6 (g),WISEA J144950.63+412225.6,0.01
IC220822A,ZTF18aashiai,AT2020onj,0,1,AGN Variability,"Could be star, anyway no flaring",19.7 (g),0.7 (g),,
IC220822A,ZTF18abmssay,AT2019lku,0,,Star,Variable star?,16.6 (g),3.0 (r),,
IC220822A,ZTF18admicap,,0,,Artifact,Duplicate of ZTF18abmssay,16.6 (g),2.5 (r),,
IC220822A,ZTF19aauzqsc,,0,1,AGN Variability,"likely QSO, no significant temporal evolution",19.8 (r),1.0 (r),WISEA J181010.89+221949.4,0.3 arcsec
IC220822A,ZTF22aaonqcc,SN2022mzb,0,,SN Ia,,18.5 (r),2.8 (g),,
IC220822A,ZTF22aarmiqk,AT2022saw,1,,SN Ia,"we took a spectrum (prev: hostless, previous detection / SN -> FP lc strongly suggests so)",19.9 (g),0.2 (g),,
IC220822A,ZTF22aarvynq,,0,,Star,"likely varstar, sgscore=0.73",20.3 (r),0.7 (r),,
IC220822A,ZTF22aayzdld,,0,1,AGN Variability,"likely QSO, no significant temporal evolution",20.1 (r),0.8 (g),WISEA J180358.21+204251.4,0.05 arcsec
IC220822A,ZTF22abcmevn,,0,,Star,"likely varstar, sgscore=0.86",20.5 (r),0.3 (r),,
IC220822A,ZTF22abcmfsn,,0,,Star,high-ish sgscore (0.53),20.7 (r),0.6 (r),WISEA J181150.36+203810.3,0.01 arcsec
IC220822A,ZTF22abcmgkl,,0,,,one previous detection (~20 days before),21.2 (g),0.6 (g),,
IC220822A,ZTF22abcmhdw,,0,,,"not a star, no previous detections, W1-W2 = 0.5",21.1 (r),,WISEA J181830.17+220620.7,0.02 arcsec
IC220822A,ZTF22abcmorl,AT2021acdf,0,,,"not a star, no previous detections",21.3 (r),0.0 (r),,
IC220822A,ZTF22abcmoro,,0,,Star,"SDSS star-like morphology, PS1 also says so",20.7 (r),,,
IC220907A,ZTF18aatkvyc,,0,1,AGN Variability,"Milliquas: AX-type source, no significant flare",18.9 (i),1.8 (g),SDSS J145318.67+451329.,0.22 arcsec
IC220907A,ZTF18abnvqul,,0,1,AGN Variability,"Milliquas: QX-type source, no flaring",19.0 (g),1.8 (g),SDSS J145607.79+453034.,0.46 arcsec
IC220907A,ZTF22aatwsqt,AT2022oyn,1,,SN Ia,"looks SN-y, classified by us",19.4 (r),1.4 (r),,
IC221216A,ZTF19aacpnob,,0,,G-type source,"galaxy, no temporal evolution",15.8,2.8,NGC 0137,0.018
IC221216A,ZTF19abycviw,,0,0,Unclassified,artifact,19.7,0.1,,
IC221223A,ZTF22abdmfpw,,0,,QSO,no significant flare,,,,
